,Unnamed: 0,stance,target,text
10,10,favor,"['ብልፅግና', 'ፓርቲ']","['አብይ', 'ኢትዮጵያን', 'ይለዉጣል', 'ዘረኝነትን', 'ያጠፋል']"
11,11,against,"['ብልፅግና', 'ፓርቲ']","['አዳሜ', 'ልጆችሽን', 'ውጪ', 'እያስተማርሽ', 'በኛ', 'በድሆች', 'ህይወት', 'ቁማር', 'ተጫወቱ']"
12,12,against,"['ቀይ', 'ባህር']","['ኢትዮጵያ', 'ገበሬ', 'ነው', 'ግባና', 'እረስ', 'የሰው', 'አትቀላውጥ', 'አምርት', 'እንደመንግስት']"
13,13,neutral,"['ብልፅግና', 'ፓርቲ']","['አፄ', 'ኋይለስላሴ', 'በአገዛዛቸው', 'ዘመን', 'ህዝብ', 'ፊት', 'ስንቴ', 'ቀረቡ', 'ስንቴ', 'ተናገሩ']"
14,14,against,"['ኢዜማ', 'ፓርቲ']","['ለጨረባ', 'ምርጫ', 'ነው', 'እረ', 'ግፍ', 'ይሆንባቸዋል', 'የሞተውን', 'አታስታውሱም', 'እንዴ']"
15,15,neutral,"['አብን', 'ፓርቲ']","['የአማራ', 'ክልል', 'ህዝብ', 'ሳይሆን', 'የአማራ', 'ህዝብ', 'ተብሎ', 'ይስተካከል']"
16,16,against,"['ቀይ', 'ባህር']","['ሁል', 'ጊዜ', 'ጦርነት', 'አይሰለችህም']"
17,17,favor,"['አብን', 'ፓርቲ']","['በቅድሚያ', 'የአማራን', 'ማሰ', 'ሚዲያ', 'ከልብ', 'ለመሰግነው', 'እወዳለሁ', 'ምክንያቱም', 'ለዚህ', 'ታላቅ', 'ድርጅት', 'መመስረት', 'የናተ', 'ድርሻ', 'ጉልህ', 'ነው', 'ከማስተዋወቅ', 'አንፃር', 'ሊላው', 'ግን', 'ይህ', 'ብሶት', 'የወለደው', 'ድርጅት', 'አድጎና', 'ተመንድጎ', 'አላማውን', 'እስኪ', 'አሳካ', 'ድረስ', 'ከ', 'ጅቦች', 'እጅ', 'እንዳይወድቅ', 'ሁላችንም', 'ዘብ', 'ልንቆምለት', 'ይገባል']"
18,18,neutral,"['ኢዜማ', 'ፓርቲ']","['አላህ', 'ሀገሬ', 'የሚበጅሽን', 'መንግስት', 'ይስጥሽ', 'ያአላህ', 'አገሬን', 'ሰላምሽን', 'ያብዛልኝ']"
19,19,against,"['ቀይ', 'ባህር']","['አጀንዳው', 'ቀይ', 'ባህር', 'ነገሩ', 'ግን', 'ሌላ', 'ነው', 'መሰለኝ', 'አብረን', 'እናየዋለን']"
20,20,favor,"['አብን', 'ፓርቲ']","['ነፍጠኛው', 'አብኖች', 'በእናንተ', 'እንተማመናለን', 'በርቱልን', 'የሞቱት', 'አይመለሱም', 'ጊዜቹን', 'በአግባቡ', 'ተጠቅማችሁ', 'የአማራ', 'መብት', 'አስክብሩ']"
21,21,favor,"['አብን', 'ፓርቲ']","['ተደራጅ', 'መክት', 'ታሪክህን', 'አድስ']"
22,22,against,"['ሰንድቅ', 'አላማ']","['እኔ', 'የሚገርመኝ', 'ኢትዮጲያ', 'እኮ', 'የስንት', 'ሀይማኖት', 'እና', 'ብሄር', 'ስብስብ', 'መኖሪያ', 'ነች', 'እኛ', 'ሉሙጡን', 'አንፈልግም', 'ሳየው', 'አስታውክ', 'አስታውክ', 'ነው', 'የሚለኝ', 'ልሙጡን', 'ደንበጫ', 'ላይ', 'ሌላ', 'ቦታ', 'እፍ']"
23,23,neutral,"['ሰንድቅ', 'አላማ']","['ዶክተር', 'አብይ', 'አስተምሯቸውን', 'በሁሉም', 'ድርጅቶች', 'በተለይ', 'በመካከለኛ', 'ላሉ', 'ወጣት', 'አመራሮች', 'ስልጠና', 'ቢሰጡ', 'የተሻለ', 'ይሆናል']"
24,24,against,"['አብን', 'ፓርቲ']","['ክሪስ', 'በጣም', 'አፍረናል', 'መግለጫው', 'ላይ', 'ጋዜጠኞች', 'ላይ', 'በለጠና', 'ጣሂር', 'ሀሳብን', 'ከመቀበል', 'ይልቅ', 'ልሀጫም', 'ውጣልን', 'ማለት', 'ስህተት', 'ነበር', 'መስተካከል', 'አለበት']"
25,25,favor,"['ብልፅግና', 'ፓርቲ']","['እውነትም', 'ብልፅግና', 'ፓርቲ', 'ብዙ', 'እርቀው', 'ያቅዳልያስባል', 'ይከናወናል', 'የምንተማመንበት', 'ፓርቲ', 'ነው']"
26,26,neutral,"['አብን', 'ፓርቲ']","['አነሰም', 'አደገም', 'ሀገራችን', 'የፖለቲከኞችን', 'ከፊል', 'ባህሪ', 'ታፀባርቃለች', 'እንደኔ', 'ሀሳብ', 'ራሱን', 'የሰራ', 'እና', 'ያዘጋጀ', 'ሰው', 'ቢኖር', 'ብዙ', 'ነገሮችን', 'መለወጥ', 'ይችላል', 'ካልሆነ', 'ቀሚስ', 'ጠለፍኝ', 'እያሉ', 'ውጤቱንም', 'ለመቀበል', 'መገደድን', 'ያስከትላል']"
27,27,against,"['ቀይ', 'ባህር']","['እሰይ', 'በሉ', 'ብልፅግና', 'ምጥ', 'ጀመራት', 'ቶሎ', 'ውለጅልን', 'እኛ', 'እኮ', 'ነገርናችሁ', 'እናተ', 'መሪነት', 'አልተሰጣችሁም', 'መምራት', 'የውስጥ', 'ሞራል', 'ይጠይቃል', 'እናት', 'የአስተሳሰብ', 'አናሳዎች', 'ናችሁ']"
28,28,favor,"['ቀይ', 'ባህር']","['ሀገሬ', 'አምላክሽ', 'ሊያነሳሽ', 'ሊያበለፅግሽ', 'ሊጎበኝሽ', 'እንደወደደ', 'እነነዚህን', 'የመሳሰሉ', 'አዋቂዎች', 'በውስጥሽ', 'ወለደልሽ', 'አምላካችን', 'ይባረክ']"
29,29,against,"['ቀይ', 'ባህር']","['አላህ', 'ያንሳህ', 'አህ', 'ኤጭ']"
30,30,favor,"['አብን', 'ፓርቲ']","['እግዚአብሄር', 'ይጠብቃችሁ', 'ሰላም', 'ጤና', 'ይስጣችሁ', 'የኢትዮጵያ', 'ለዘላለም', 'ትኑር', 'እወዳችሀለሁ']"
31,31,favor,"['ሰንድቅ', 'አላማ']","['እርንጔዴ', 'ቢጫ', 'ቀይ', 'የእማራ', 'ብችነውየሚስሉትእይደለምየሁሉምነውእስቡትጠባብነትንእስወግዱት']"
32,32,against,"['ብልፅግና', 'ፓርቲ']","['ተመስገን', 'ነው', 'የኑሮው', 'ውድነት', 'እየባሰብን', 'ነው']"
33,33,neutral,"['አብን', 'ፓርቲ']","['የፓርቲ', 'እና', 'መደበኛ', 'የመንግስት', 'ስራ', 'መደበላለቅ', 'የለበትም', 'ብለን', 'እየሞገትን', 'ነው', 'ይህ', 'መርህ', 'ለሌሎች', 'ተፎካካሪ', 'ፓርቲዎችም', 'ይሰራል', 'መንግስት', 'የጤና', 'ኤክስቴንሽን', 'ሰራተኞችን', 'የቤት', 'ለቤት', 'የስራ', 'ስምሪት', 'ተጠቅሞ', 'የምርጫ', 'ቅስቀሳ', 'ቢያደርግ', 'እቃወማለሁ']"
34,34,favor,"['ቀይ', 'ባህር']","['አንተ', 'ለመጪው', 'ትውልድ', 'ስታስብ', 'በልቼው', 'ልሙት', 'የሚሉ', 'እራስ', 'ወዳዶች', 'ባይቀበሉህም', 'ግን', 'አንተ', 'ምንግዜም', 'ለኢትዮጵያ', 'ጀግና', 'ነህ', 'አንድ', 'ቀን', 'ያመሰግኑሀል']"
35,35,neutral,"['ሰንድቅ', 'አላማ']","['የዚህ', 'የባንዲራ', 'ነገር', 'መፍትሄ', 'አግኝቶ', 'እፎይ', 'የሚባልበት', 'ቀን', 'ነው', 'የናፈቀኝ']"
36,36,neutral,"['ሰንድቅ', 'አላማ']","['ባንዴራ', 'በህዝብ', 'ውሳኔ', 'ከተቀየረ', 'የስራ', 'ቋንቋም', 'ወደ', 'ህዝበ', 'ውሳኔ', 'መቅረብ', 'አለበት', 'አማረኛ', 'ሚባል', 'ለሁሉም', 'ሰው', 'ስለ', 'ማይገልፅ']"
37,37,neutral,"['አብን', 'ፓርቲ']","['ዱቄት', 'ሆነ', 'የተባለው', 'እንዴት', 'ሊያንሰራራ', 'ቻለ', 'መሳሪያውን', 'ከዬት', 'አገኙ', 'መልሱ', 'ግልፅ', 'ነው', 'ወደፊት', 'እውነቱ', 'ይወጣል']"
38,38,neutral,"['አብን', 'ፓርቲ']","['በቃ', 'በለን', 'ለሀገራችን', 'ጠቃሚውን', 'አምጣልን', 'ፍትህህህህ', 'ለአማራ']"
39,39,neutral,"['ኢዜማ', 'ፓርቲ']","['ጥያቄው', 'ብልፅግና', 'እንደዚህ', 'ማድረግ', 'ይችላል', 'ወይ', 'ጠቅላዪ', 'መድረክ', 'ላይ', 'ዱቅ', 'ብለው', 'ሳያስፈራሩ', 'ማለት', 'ነው']"
40,40,neutral,"['ኢዜማ', 'ፓርቲ']","['ጋምቤላ', 'የነፃነት', 'ህዝብ', 'መናሀሪያ']"
41,41,neutral,"['ብልፅግና', 'ፓርቲ']","['እይ', 'አገኘሁ', 'ብዙ', 'ዋጋ', 'የከፈለ', 'ነው', 'ለምን', 'እሱን', 'ብቻ', 'መቃውሙ', 'እግባብ', 'አይደለም']"
42,42,neutral,"['አብን', 'ፓርቲ']","['ትግላችን', 'አራት', 'ኪሎ', 'ድረስ', 'ነው', 'ያልከው', 'ጉዳይ', 'ከምን', 'ደረሰ']"
43,43,neutral,"['ሰንድቅ', 'አላማ']","['ለኦሮሞ', 'ተቆርቋሪ', 'መስለው', 'ስለ', 'አማራ', 'መጥፎነት', 'የሚፅፉ', 'ወይም', 'ለአማራ', 'ተቆርቋሪ', 'መስለው', 'ስለኦሮሞ', 'መጥፎነት', 'የሚፅፉ', 'ወያኔዎች', 'ስለሆኑ', 'እንዳትሸወዱ', 'ባጭሩ', 'የቀን', 'ጅቦች', 'እና', 'የእነሱ', 'አሽከሮች', 'የነበሩት', 'ናቸው']"
44,44,against,"['ቀይ', 'ባህር']","['እባክዎ', 'ጉልበት', 'አለን', 'ማለት', 'ከሌላ', 'ሀገር', 'ድንበር', 'መውሰድ', 'እንችላለን', 'ማለት', 'አይደለም', 'ኢትዮጵያ', 'በታሪክ', 'ድንበር', 'አልፋ', 'አታውቅም']"
45,45,favor,"['ኢዜማ', 'ፓርቲ']","['እውነት', 'ነው', 'ለገባው', 'ሀገር', 'ከሁሉ', 'ነገር', 'በላይ', 'ነች']"
46,46,against,"['ብልፅግና', 'ፓርቲ']","['ብልፅግና', 'ፓርቲ', 'ለአዲስ', 'አበባ', 'ህዝብ', 'ብቻ', 'እሰራለሁ', 'ብሎ', 'ቃልኪዳን', 'የገባ', 'ፓርቲ', 'አይደለም', 'ነገር', 'ግን', 'ሌሎች', 'አካባቢ', 'ትራንስፖርት', 'አያስፈልግም', 'ወይ', 'በየአመቱ', 'ለአዲስ', 'አበባ', 'የገቡት', 'መኪና', 'ቁጥር', 'ከከተማ', 'ህዝብ', 'ቁጥር', 'እኩል', 'ሳይሆን', 'አይቀርም']"
47,47,favor,"['ቀይ', 'ባህር']","['ሁሉም', 'ከተሞች', 'ሁሉም', 'የንግድ', 'ቦታዎች', 'ሁሉም', 'የኢንደስትሪያ', 'ለነርሱ', 'ክፍት', 'እንደሚደረግላቸው', 'በመረጥኩት', 'በመንግስቴ', 'እተማመናለሁ', 'አነሳስቶ', 'ያስጀመረን', 'ፈጣሪ', 'ጥንካሬና', 'ፍቅር', 'በልባችን', 'አኑሮ', 'ያስጨርሰናል', 'ፈጣሪ', 'ይመስገ']"
48,48,against,"['ብልፅግና', 'ፓርቲ']","['የቆረጠ', 'አንገት', 'ከሆነ', 'ትክክል', 'በአሁኑ', 'ሰአት', 'ከብልፅግና', 'በላይ', 'የኢትዮጵያ', 'በተለይ', 'የአማራው', 'ጠላት', 'የለም', 'ሰይጣን', 'እንኳ', 'ቢሆን']"
49,49,neutral,"['ሰንድቅ', 'አላማ']","['እንግዲ', 'ተፋጠጡ', 'ከኦሮሞ', 'ህዝብ', 'ሜዳውም', 'ፈረሱም', 'እዛው', 'አለላቹ']"
50,50,favor,"['ብልፅግና', 'ፓርቲ']","['ፈጠው', 'የሚያዩክ', 'ካቢኒ', 'ቢረዱክ', 'ጥሩ', 'ነበር', 'ለማንኛውም', 'ተስፋ', 'አትቁረጥ']"
51,51,favor,"['ብልፅግና', 'ፓርቲ']","['ብልፅግና', 'በመደመር', 'የተቃኘ', 'ተግባራዊ', 'እውነትን', 'መሰረት', 'ያደረገ', 'የህዝብ', 'ፓርቲ']"
52,52,favor,"['ቀይ', 'ባህር']","['በጦርነት', 'ሳይሆን', 'በመነጋገር']"
53,53,neutral,"['ሰንድቅ', 'አላማ']","['ህዝብ', 'ያመነበት', 'የአርማ', 'ለውጥ', 'ብቻ', 'ይደረግ']"
54,54,neutral,"['ብልፅግና', 'ፓርቲ']","['እባካችሁ', 'ኩፋ', 'ቃላትን', 'የምትናገሩ', 'ተጠንቀቁ', 'በምድራችን', 'ላይ', 'እየሆነ', 'ያለው', 'ሁሉ', 'የእግዚአብሄር', 'ቁጣ', 'ስለሆነ', 'ንሰሀ', 'እንግባ']"
55,55,favor,"['ሰንድቅ', 'አላማ']","['የብሄር', 'ብሄረሰብ', 'መብታችን', 'የተከበረበት', 'ውዴት', 'ወደ', 'ሆላ', 'አይመለስም', 'አማራ', 'ክልል', 'ብቻ', 'ኢትዮጵያን', 'አይወክልም', 'በዛ', 'ባንዴራ', 'ልሙጥ', 'ከጀርባው', 'ብዙ', 'ህዝብን', 'የጀርባ', 'በሽታ', 'ሆኖዋል', 'ከብሄር', 'ብሄረሰብ', 'ጋር', 'ወደፊት', 'ወደ', 'ሆላ', 'የለም']"
56,56,favor,"['ኢዜማ', 'ፓርቲ']","['ብርሀኑ', 'የአማራ', 'ጠላት', 'ነው', 'የምትለዋ', 'ፕሮፓጋንዳ', 'በህወሀት', 'ተደርሳ', 'በጅል', 'አማራ', 'ብሄርተኞች', 'የምትተረክ', 'ድራማ', 'እኮ', 'ናት', 'የአማራ', 'ጠላት', 'ህወሀት', 'እንጂ', 'ብሬማ', 'ምን', 'በወጣው']"
57,57,neutral,"['ብልፅግና', 'ፓርቲ']","['መማር', 'ያለባችሁን', 'አሁንም', 'ቢሆን', 'ተማሩ', 'ካለፉት', 'ዘመናት']"
58,58,neutral,"['ሰንድቅ', 'አላማ']","['ስለ', 'ሰንደቃላማ', 'ሙሁራኖችና', 'ህዝቡ', 'በሰፊው', 'ሊወያዩበት', 'ይገባል']"
59,59,favor,"['አብን', 'ፓርቲ']","['የወያኔ', 'ሰላይ', 'እንዲሁም', 'ከሀዲ', 'እንዳይገባ', 'ጥንቃቄ', 'ይደረግ']"
60,60,neutral,"['ኢዜማ', 'ፓርቲ']","['ማርና', 'ወተት', 'የምተፋስ', 'እናት', 'ሀገሬ', 'እትዮጵያዬ', 'ሺህ', 'አማት', 'ንገሺህ']"
61,61,against,"['ኢዜማ', 'ፓርቲ']","['የኢሳት', 'ጉዳይ', 'ወዴትኛው', 'ኪሳቸው', 'አዛወሩት', 'ኢዜማዎች', 'ዲያስፖራውን', 'አየር', 'ላይ', 'አንሳፈፋችሁት']"
62,62,against,"['ቀይ', 'ባህር']","['የህዝብ', 'ብዛት', 'ካስጨንቀህ', 'ህዝብህን', 'የወሊድ', 'መከላከያ', 'እንዲጠቀም', 'አስተምረው']"
63,63,favor,"['ቀይ', 'ባህር']","['በየመንደሩ', 'የጅል', 'ስራ', 'እየሰራችሁ', 'ሰው', 'እያስጨረሳችሁ', 'ንብረት', 'እያጠፋችሁ', 'መንግስትና', 'ህዝብ', 'እድገትና', 'ልማትን', 'ትቶ', 'በእናንተ', 'እቃ', 'እቃ', 'ጨዋታ', 'እያተኮረ', 'እንዲተኛ', 'የምትፈልጉ', 'ቁርጡን', 'እወቁ', 'ማንም', 'አይሰማችሁም']"
64,64,favor,"['ሰንድቅ', 'አላማ']","['ኦነግ', 'ይህን', 'ባንዲራ', 'የሚጠላበት', 'ምክንያት', 'በኢትዮጵያ', 'አንድነት', 'ስለ', 'ማያምን', 'ወይም', 'መገንጠልን', 'ያነገበ', 'ቡድን', 'ስለሆነ', 'ነው', 'ብዬ', 'አስባለው']"
65,65,favor,"['ብልፅግና', 'ፓርቲ']","['ጥሩ', 'ነው', 'ግን', 'መንግስት', 'የእኮኖም', 'አሻጥርን', 'ማስቆም', 'አለበት']"
66,66,against,"['ኢዜማ', 'ፓርቲ']","['አንደኛ', 'አገር', 'አፍራሽ', 'ቄጣማ', 'የምበል', 'ፓርቲ', 'ነው']"
67,67,favor,"['ቀይ', 'ባህር']","['ፈሪ', 'አማራን', 'ተዋት', 'ቀይ', 'ባህር', 'ለኛ', 'የመኖርና', 'ያለመኖር', 'ጉዳይ', 'ነው', 'ለአገር', 'ክብር', 'እኛ', 'ኢትዮጵያዊያኖች', 'ዛሬም', 'ለመሞት', 'ዝግጁ', 'ነን']"
68,68,favor,"['አብን', 'ፓርቲ']","['አማራ', 'ማለት', 'ብሄር', 'ከብሄር', 'የማይለይ', 'ንቁና', 'አስተዋይ', 'አዛኝ', 'የሰው', 'ዘር', 'አደለም', 'የሚያየው', 'አማራ', 'የሚያቀው', 'የሰው', 'ዘር', 'ሳይሆን', 'የእህል', 'ዘር', 'ነው', 'እሚቀው', 'የአራዳ', 'ልጂ', 'አማራ', 'ሸገር', 'አስተዋይ']"
69,69,neutral,"['ሰንድቅ', 'አላማ']","['ዶክተር', 'አብይ', 'መንግስት', 'እውነት', 'የህዝብ', 'ፍቅር', 'ካለው', 'ህዝቡ', 'እኔን', 'ይወክለኛል', 'የሚለውን', 'ሰንደቅ', 'አላማ', 'እንዲያመልክ', 'ሊፈቅድና', 'ተግባራዊ', 'ማድረግ', 'ይጠበቅበታል']"
70,70,favor,"['አብን', 'ፓርቲ']","['እልልልልልል', 'የኢትዮጵያ', 'ትንሳኤ', 'መጣልን']"
71,71,neutral,"['ኢዜማ', 'ፓርቲ']","['ብልዜማ', 'ለማለት', 'ነው', 'የታይፕ', 'ስህተት', 'አለ', 'አስተካክሉት']"
72,72,neutral,"['አብን', 'ፓርቲ']","['አማራ', 'የሚለውን', 'ቃል', 'አመጣጥና', 'ትርጉም', 'የሚነግረኝ']"
73,73,neutral,"['አብን', 'ፓርቲ']","['ለመጀመሪያ', 'ጊዜ', 'ፋና', 'እና', 'የኢትዮጵያ', 'ብሮድ', 'ካስት', 'የአብንን', 'ስብሰባ', 'ሲዘግብ', 'ምስጢሩ', 'ምን', 'ይሆን']"
74,74,favor,"['አብን', 'ፓርቲ']","['ክርስቲያን', 'ገብርዬ', 'በርታ', 'ጀግናዬ', '️አብን', 'የአማራ', 'መዳኒት', 'ብየዋለው', '️ጊዜው', 'አሁን', 'ነው']"
75,75,favor,"['ብልፅግና', 'ፓርቲ']","['የተሰጣችሁን', 'አደራ', 'ሳታዳሉ', 'የመረጣችሁን', 'ህዝብ', 'ለማገልገል', 'ያብቃችሁ', 'ዘረኝነት', 'ይጥፋ']"
76,76,favor,"['አብን', 'ፓርቲ']","['ውድ', 'ወገኖቸ', 'አብሽር', 'ውድድድ']"
77,77,against,"['ቀይ', 'ባህር']","['ኤርትራ', 'በዚህ', 'ጉዳይ', 'ለድርድር', 'አልቀመጥም', 'አለች', 'እሆስለዚህ', 'ነጋሪት', 'ጎስሙና', 'የደሀውን', 'ልጅ', 'አስጨርሱ']"
78,78,against,"['ብልፅግና', 'ፓርቲ']","['ፈሳም', 'ሁላ', 'ለሀገሪትዋ', 'ምንም', 'የማይጠቅሙ', 'ሆዳሞች', 'ወንበር', 'ብቻ', 'ማሞቅ', 'ባዶ', 'ጭንቅላጥ', 'ብልግና', 'ፓርቲ']"
79,79,against,"['አብን', 'ፓርቲ']","['እኔው', 'ጨፍጫፊ', 'ሆኜ', 'ጭፍጨፋ', 'ስኮነን', 'ይሰመዎታል']"
80,80,against,"['ብልፅግና', 'ፓርቲ']","['ምንድነው', 'የሚወራው', 'ብልፅግና', 'ማለት', 'ሞት', 'ስደትና', 'ራሀብ', 'ነው', 'እንዴ']"
81,81,favor,"['አብን', 'ፓርቲ']","['ምንም', 'አንፈራም', 'አለንንንንን', 'አማራ', 'ማን', 'እንደሆን', 'ኢትዮጵያዊ', 'አይደለም', 'አለም', 'ያወቀናል', 'እንኳንስ', 'ተኩሶ', 'ድምፁ', 'ያስፈራን', 'ኧረ', 'የዘነጉን', 'ካሉ', 'እናስታውሳቸው', 'ጀግናዬ']"
82,82,favor,"['አብን', 'ፓርቲ']","['ከጉባኤውና', 'ከአብን', 'ቀጣይ', 'ጉዞ', 'ብዙ', 'ነገር', 'ይጠበቃል']"
83,83,favor,"['አብን', 'ፓርቲ']","['እኛ', 'አዳራሽ', 'ውስጥ', 'የለን', 'መጋፈጥ', 'ነው', 'እንጅ', 'ክሪስ', 'ለባንዳ', 'እንዳታስረክቡት', 'አደራ']"
84,84,against,"['ብልፅግና', 'ፓርቲ']","['ባካቹ', 'የህዝቡን', 'ሰላም', 'አረጋግጡልን', 'ሰው', 'እያለቀ', 'ስለሌላ', 'ነገር', 'ማውራት', 'ከንቱ', 'ነው']"
85,85,neutral,"['ሰንድቅ', 'አላማ']","['ለኦሮሞ', 'ተቆርቋሪ', 'መስለው', 'ስለ', 'አማራ', 'መጥፎነት', 'የሚፅፉ', 'ወይም', 'ለአማራ', 'ተቆርቋሪ', 'መስለው', 'ስለኦሮሞ', 'መጥፎነት', 'የሚፅፉ', 'ወያኔዎች', 'ስለሆኑ', 'እንዳትሸወዱ', 'ባጭሩ', 'የቀን', 'ጅቦች', 'እና', 'የእነሱ', 'አሽከሮች', 'የነበሩት', 'ናቸው']"
86,86,against,"['ኢዜማ', 'ፓርቲ']","['እኛ', 'እኮ', 'ከቆምን', 'ቆየን', 'የት', 'ቆይተህ', 'ነው', 'አባቱ']"
87,87,neutral,"['አብን', 'ፓርቲ']","['ይህ', 'መንግስት', 'አማራና', 'ትግራይ', 'ቢፋለሙለት', 'እልል', 'በቅምጤ', 'ነው', 'የተጠነሰሰለትን', 'ያላወቀ', 'አማራ', 'ዝም', 'ብሎ', 'ይጓተታል', 'ቲች']"
88,88,against,"['አብን', 'ፓርቲ']","['አብን', 'አንፈልግም', 'አብይን', 'ነዉ']"
89,89,favor,"['አብን', 'ፓርቲ']","['በጣም', 'ደስ', 'ይላል', 'ለአማራ', 'ተቆርቋሪ', 'ጠንካራ', 'ፓርቲ', 'ያስፈልጋል', 'የአማራ', 'ቲቪ', 'አዘጋጆችም', 'አግዟቸው', 'ትግላቸው', 'ለእናንተ', 'ጭምር', 'ነው']"
90,90,neutral,"['አብን', 'ፓርቲ']","['ይድስ', 'ለአማራ', 'ትምህርት', 'ቤሮ', 'በሀገሪቱ', 'በተለያዩ', 'ክልልሎች', 'የምንገኝ', 'ሰራተኞች', 'የተለያዩ', 'በደልና', 'ግፍ', 'እየደረሰነው', 'ክልልሉ', 'ይህን', 'እንዴት', 'ያየዋል', 'አሁን', 'ሰለሞቱት', 'ሳይሆን', 'መታሰብ', 'ያለበት', 'ያሉትን', 'ማትረፍ', 'ቢሆን', 'ተመራጭ', 'ነው']"
91,91,favor,"['ኢዜማ', 'ፓርቲ']","['አምፖሉ', 'ይበራል', 'ብርሀኑ', 'ይመራል', 'እስከዚያው', 'አምፖሉ', 'መበላሸቱ', 'አይቀርም']"
92,92,favor,"['ብልፅግና', 'ፓርቲ']","['በርቱልን', 'ምጊዜም', 'እውነት', 'ያሸንፋልበማንኝውም', 'ጉዳይ', 'ከጓናችሁ', 'አለን']"
93,93,neutral,"['ሰንድቅ', 'አላማ']","['ባንዴራ', 'በህዝብ', 'ውሳኔ', 'ከተቀየረ', 'የስራ', 'ቋንቋም', 'ወደ', 'ህዝበ', 'ውሳኔ', 'መቅረብ', 'አለበት', 'አማረኛ', 'ሚባል', 'ለሁሉም', 'ሰው', 'ስለ', 'ማይገልፅ']"
94,94,favor,"['ሰንድቅ', 'አላማ']","['ትክክክል', 'ይነሳ', 'ይህ', 'ነው', 'ህዝብን', 'እያናከሰ', 'ያለው']"
95,95,against,"['ቀይ', 'ባህር']","['ይሄ', 'ስብከት', 'ለማን', 'ነው', 'ለምን', 'አኤርትራ', 'አልበለፀገችም', 'ታዲያ', 'ቅንነት', 'የሌለው', 'አካሄድ', 'ሁሌም', 'መጨረሻው', 'ውድቀት', 'ነው']"
96,96,neutral,"['ሰንድቅ', 'አላማ']","['መጀመሪያ', 'በልባችን', 'ያለው', 'መለያየት', 'መነቃቀፍ', 'ነው', 'መነሳት', 'ያለበት', 'ያኔ', 'ነው', 'ለውጥ', 'የሚመጣው']"
97,97,favor,"['ኢዜማ', 'ፓርቲ']","['ኢትዮጵያ', 'አሉኝ', 'ከምትላቸው', 'አንዱ', 'ፕሮፌሰር', 'ብሬ', 'ነው', 'እድሜና', 'ጤና']"
