stance,target,text
against,ቀይ ባህር,ለምንድነው የቀይባህርና የባህር በር ጉዳይ የሚያነሳው ? ኢትዮጵያ ከምንም ግዜ በላይ ድህነት ኣረንቛ ኣውርዶ ፡ በትግራይ የእርስ በርስ ጦርነት ሶስት ክልሎች ስንት መከራና ጠባሳ እንዲኖር ኣድርጎ ፡
against,ቀይ ባህር,ኣሁን ደሞ ብኣማራ ክልል በእርስ በርስ ጦርነት ወደር የሌለው ሰቆቃ እያወረደ ባለበት ግዜ ፡ ለምንድነው ከኤርትራ ጋር ደም መቃባት የፈለገው ።
favor,ቀይ ባህር,እግዚአብሔር ያለዉ ነዉ የሜሆነዉ ዶክተር አብዬ ንግግር ያሰደንቃል ተባረክ
favor,ቀይ ባህር,ሀገሩን የሚወድ ዜጋ ወደብን በተመለከተ ሊተባበር ይገባዋል ለዚህ ሀሳብ።
against,ቀይ ባህር,ኢትዩጵያ የሰላምን ዋጋ ጠንቅቃ ታዉቃለች ይህን ማወቅ የተሳናቸው አንዳንድ ደካሞች ሁሉ ጉዳይ እንደ መንደራቸው ይመስላቸዋል፤ መማር ተስኗችዋል።
against,ቀይ ባህር,የምርጫ ህግ ይሻሻልልን የምንለው ለዚህ እኮ ነው። ያለው የምርጫ ህግ አንድ ዜጋ ለመምረጥ የአዕምሮ ጤንነቱ በህኪም የተረጋገጠ መሆን አለበት ይላል። ስለተመራጩ ህጉ ምንም አይልም። ሲሆን ሲሆን ለርሱ ነበር በአንድ ዶክተር ሣይሆን ከዚያም በላይ በሆኑ ዶክተሮች ተመርምሮ የአ እምሮ ብቻ ሣይሆን ሁለንተናዊ ጤንነቱ ሊረጋገጥ የሚገባ።
against,ቀይ ባህር,ውድ ጠቅላይ ሚኒስቴር ያልታረሱ መሬቶች እንዲታረሱ ሰላም አውርደን እንደልብ የምንንቀሳቀስበት ሀገር ብቻ አድርጉልን ሰላም ከሌለ አባይም ቀይ ባህርም ሀገርም የኛ ቢሆን አይጠቅምም ::
against,ቀይ ባህር,ለተጀመረው ሶስተኛው አለም ጦርነት አካል ልንሆን ነው መሰለኝ
favor,ቀይ ባህር,ዘመኑ በዕውቀትና በማስተዋል የምንራመድበት ዘመን ነው። 21ኛውን ክ/ዘመን የሚመጥን ዕውቀትና አስተሳሰብ ያለው አብይ አህመድ ነው!
against,ቀይ ባህር,የኢትዮጵያ ህዝብ የሚፈልጋቸው ብዙ ነገሮች ከብሀር በር በፊት መሥማትና በፍቅረ ከኢትዮጵያ ህዝብ መቀጠል ከፈለጋችሁ መኛታችሁንና ፍላጎታችሁን ብቻ ሳይሆን ፈላጎቱንም ተረዱት:
favor,ቀይ ባህር,የቀይ ባህር ጉዳይ ሲነሳ የሚፈራ ማንም ይሁን ማን በልቡ ውስጥ ምንም አይነት የሀገር ፍቅር ስሜት የሌለው ደካማ ነው መሪያችን በእውነት ትለያለህ አላህ ይጠብቅህ
favor,ቀይ ባህር,ይህ ትንቢት የፍፃማል ወደ ፊት
neutral,ቀይ ባህር,ሸገር ጨዋታ ላይ በርካታ ኢትዮጵያን የሚቀይር ሃሳብ ያላቸው ግሩም ግለሰቦች ላለፉት 10 ት አመታት ቀርበዋል እባክዎትን ከ መአዛ ብሩ ጋር ይመካከሩ
against,ቀይ ባህር,"በዘረኝነት አእምሮውን የሳተ መሪ እና አስተዳደር, ለራሱ, ለሃገሩ እና ለጎረቤቶቹ አይበጅም። ከሃዲ, ባለጌ, ወጠጤ, ዘረኛ እየተነሳ ሰላማችንን አይነሳንም።"
against,ቀይ ባህር,ባለስልጣናት በጠቅላዩ የተለያየ ትምህርት ሲሰጣቸው ከአራት ዓመት በላይ ሆኖታል መቼ ይሆን ተመርቀው የሚአበቃውና አሁንስ በቃን ብለው ወደ አገሪቱ ችግሯን ለመቋቋምና ሕዝብን ከዘር መናቆር ሊአቆም የሚችሉ መሪዎች ነድፈን ኢትዮጵያን የምንገነባው።
against,ቀይ ባህር,የሀ ሰው ኣልገባውም እንጂ ለወደፊቱ ኢትዮጵያን የማይ ጠፋ አሳት ለክሶ እንድ ትፈርስ መንገዱን እያስተክስከለ ነው
against,ቀይ ባህር,ይህ ሰው ኣዕምሮው ልክ ኣልመስል ኣለኝ ፥ ኣሁንም ይሄን ወጣት ለሌላ እልቂት እያመቻቸው እንደሆነ ለማንም ግልጽ ነው ።
against,ቀይ ባህር,ኢትዮጵያ ለስንት ዓመታት በማን መንግሥታት ወቅት ቀይ ባሕርና ወደብ ነበራት? በታሪክ አጋጣሚ ለመጀመሪያ ጊዜ ቀይ ባህር አሳጥቶን ለማኝ ሀገር ያደረገው መንግሥት የትኛው ነው? እዝህጋ ነው እንግዲህ ትፋታችንን መልሰን ለመብላት የሚንሞክረው
against,ቀይ ባህር,ኢትዮጵያ በታሪክም ሆነ በጅኦግራፊ በየትኛውም ቦታ ላይ የቀይ ባህር ኮሪደር የማግኝት ህጋዊ መብት አላት ነገር ግን አሁን በውስጥ ጉዳያችን በተከፉፈልንበት እና ጠቅላይ ሚንስቴሩ በሀገር ውስጥም ሆነ በውጭ ተቀባይነታቸውን ባጡበት በዚህ ወቅት መነሳቱ የማያባራ ጦርነት ውስጥ ነው ሚከተን
favor,ቀይ ባህር,በጣም እንደ ሚያስፈልገን ብዙ ኢትዮጵያዊን ባህር በር ሊኖረን እንደ ሚገባ ሁላችንም እናምናለን ።በነገራችን ላይ አንዳንድ ውጭ የምትኖሩ ኢትዮጵያዊያን የማይሆነን ወሬ አታውሩ ፖሎቲካና የህዝብ ጥቅም ለዮ የጠቅላይ ሚንስቴሩ ንግግ በጣም አስፈላጊ ነው።
against,ቀይ ባህር,ሰላም የመጣ መስሎን ነበር ይህ ከሃዲ ትግራይ ካደ ኣማራ ካደ ኣሁንም መንግስቱን ከመገልበጥ ያዳነው የኤርትራ ህዝብ ካደ !! ጥሩ !! ካሁን ወድያ ስራችን የኢትዮጵያ ታጣቂዎች በብዛት መፈልፈል ነው ።
against,ቀይ ባህር,አየ ፋና የአማራ ህዝብ የጅምላ ሲፈጸምበት አንደበታችሁን ከፍታችሁ አታውቁም ነገር ግን ሌላ እልቂት ለሚደቅን እብድ ሰው ንግግርን ስታስተላልፉ አትሳቀቁም
against,ቀይ ባህር,በል ደህና ጠብቀን ኣንተ ደንቆሮ የቀይ ባህር ወሃ ሳይሆን የምትጠጣው ወሃ ኣታገኝም በመስቀል ኣደባባይ ኣንገትህም እናንጠለጥላለን ኣትቀጥልም
against,ቀይ ባህር,እዛ ቁጭ ብለው የሚሰሙ አባላት አዘንኩባቸው፡ እንደ የሁለተኛ ደረጃ ተማሪ የውሃ ትርጉም ምን እንደሆነ ባዮሎጂ፡ ፊዚክስ፡ ጅዮግራፊ፡ ኤኮኖሚ... አስተማርቸው፡፡ እንደ ሞኝ አደረጋቸው፡፡ ሰለ ባህር የሚናገረው ያለው በኢትዮጲያ ያለው ችግር የሰዉ ትኩረቱ ለማስቀየር ነው፡፡
favor,ቀይ ባህር,ሰውየው ትልቅነት ነው የሚታየው አሁን ያለው ህዝብ አርቆ ማየት የማይችል ቢያንስ ሲበላ እንኳን ለወለደው ልጅ ሳያስቀር ቅርጥፍጥፍ አርጎ የሚበላ አበጣ ነው ተሻጋሪ አሳብ ያለው የለም እንብላው ሁሉም እሱ አሁን አይቻልም
favor,ቀይ ባህር,አሁን መታሰብ ያለበት ለቀጣዩ ትውልድ የባህር በር ያስፈልገዋል ቀይ ባሕር ከዛሬ 30 ዓመት በፊት ኤርትራ ጨምሮ ኢትዮጵያ በ14 ክፍለ ሀገራት ነበራት ።
favor,ቀይ ባህር,እንደ መሪ የቀይ ባሕርን ነገር ማንሳቱ ማወያየቱ ምንም ችግር የለውም!! በሠለጠነ መልኩ ከኤርትራ ጋር ሰጥቶ መቀበል ይችላል!!
against,ቀይ ባህር,ምክር ቤቶች ቆም ብላችሁ ሁለቴ አስቡ ዶክተር ሌላ ጦርነት አንፈልግም ብዙ ምድራችን ተፈናቃይ በዝቶ ዛሬ ይህ አጀደ አያስፈልጋትም ዶክተር ያስቡቡቡቡቡቡ
against,ቀይ ባህር,ኤርትራ ዓለም አቀፍ እዉቅና ያላት ሉዓላዊት ሀገር ናት ቀይ ባህር ደግሞ ግዛቷ ነዉ  የአማራ ህዝብ የኤርትራን ሉዓላዊነት ያከብራል አብሯትም ይታገላል
favor,ቀይ ባህር,የኢትዮጲያ እና የአፍሪካ ብርሃን ከእንቅልፍ ያነቃኸን ሁሌ ምራን አብያችን
favor,ቀይ ባህር,መቸም የምትጃምሬው ሁሉ ከፈጣር የተሰጠይ ስጦታ ነው ታሣካለይ አብቹ ፌጣርን ይዘህ ጀምር አላህ አያሣፍርም፣፣
against,ቀይ ባህር,ጦርነት አንፈልግም። መጀመሪያ ባለን ሀብት እደንግ
favor,ቀይ ባህር,ሀሳብ ጥሩ ነው ግን ሞኛሞኝ ና የተኮፈሰ ጥንስስ አካሄድ ለፀብ ለትሽ ትሽ አጋልጦን ላይሳካ ወገን እንዳንገብር።
favor,ቀይ ባህር,አብቹ አንተ ብቻ ነህ በደንብ የገባህ ብራቮ  ምን አለ በለኝ ወደ ፊት   ውሃ  ትልቅ  ኢንቨስትመንት ነው
against,ቀይ ባህር,"ደሞ ጀመረው፡ ኣይ የኔ ጉድ  ለነገሩ ኣባቶች ሲተርቱ ""ድሃ በህልሙ ቂቤ ባይጠጣ ደርቆ ይሞት ነበር"" ብለዋል።"
against,ቀይ ባህር,በቀይ ባህር ስም ተምሮ አገር የሚገነባ ትውልድ ተፋጀ የሰው ሀገርን ሀብት እያዩ ከመመቅኘትና ከመመኝት ኢትዮጵያ ከዛ በላይ ያላትን ሀብት እንካ ህዝባ በሰላም መብላትን አላገኝም ከቀይ ባህር በላይ ስንት የውሃ ሀብት አላት ያንን እንካ በአግባቡ ለመጠቀም አልበቃንም ትንሽ እናስብ ጭንቅላታችንን እናስፋው
against,ቀይ ባህር,የሙታን ሰቤስብ ትንሽ ወኔ የሌላችሁ አጓዛዎች ተነሱ ስትባሉ የምትነሱ አህዮች ናችሁ
against,ቀይ ባህር,ለምን አሁን ማውራት ተፈለገ ?? ከዚህ በፊት ተጠይቆ አልመለሰም ነበር አሁን አጀንዳ ለማስቀየር ነው ?? ሰላም ለኤርትራ ሰላም ለኢትዮጵያ
against,ቀይ ባህር,እቺ ቆሎ ካደረች አትቆረጠምም። ኤርትራዊ ሆይ ልብ ያለው ልብ ብሎ ይስማ። እኛ ኤርትራኖች በትርኪ ምርኪ ስንጣላ አጅሬ አቢይ ለካ ሌላ አጀዳ ይዞልናል።
against,ቀይ ባህር,መቼም ለአፍ ዳገት የለውም ደሞ ብሎ ብሎ ቀይ ባህር ኬኛ አሉ ወይ የእብደት ጥግ
against,ቀይ ባህር,እናቴ የኢትዮጲያ መሪ እንደምሆን ራሱም ጭምር በትምቢት ተነግሯታል። ኣውቅም ነበር ብሎን ነበር ።ይሄው ! ከሆነለት ኣሁንኑ ካቃተው ለመጪው ትውልድ ጦርነት እያዘጋጀልን ነው ።
favor,ቀይ ባህር,በድህነት የምትታወቀዋን ሀገር ከድህነት ለማላቀቅና እንደ ሀገር የገጠሙንን ዘርፈ ብዙ ችግሮችን ለመፍታት እየተጋ ያለ መሪ ነው አብይ አህመድ።
against,ቀይ ባህር,የድሮው ጠቅላይ ሚኒስቴራችን አቶ መለስ ዜናዊ አንድም ሳያስቀሩ ሰጥተውታል ይህ ማለት ቀይ ባህር የኤርትራዊያን ነው ማለት ነው ::
against,ቀይ ባህር,እባክዎ ጉልበት አለን ማለት ከሌላ ሀገር ድንበር መውሰድ እንችላለን ማለት አይደለም :: ኢትዮጵያ በታሪክ ድንበር አልፋ አታውቅም :
favor,ቀይ ባህር,"የመሪያችን ሀሳቡን በአወንታ ካየነዉ የኋላ ታሪካችንን እንድንፈትሽ, በድህነታችን ምክንያት ፈርተን አፋችን ዘግተን የረሳነውን, እጅግ አስፈላጊ ነገርን እንድናስብ አድርጎናል:: እየሱስ ክርስቶስ አእምሮአችንን ይክፈትልን::"
favor,ቀይ ባህር,ዶክተር አብይ ኢትዮጵያዬ አንተን ሰጣት የምታስብላት የምትጨነቅላት አሁንም ለአንተም ለቤተሰብህ ሁሉ ፈጣሪ ያስብልህ ኢትዮጵያ ሐገራችን መጠጊያች መኖሪያችን ለዘላለም ኑሪልን
against,ቀይ ባህር,አወ ትክክል ነህ አንተና መሠሎቺህ ውሃ ናቺሁ ለዛምነው የጎርፍ ማዓበል የሚጠራርገን
against,ቀይ ባህር,መንግስቱ ሃይለማርያ ቀይ ባሕራችን በቀይ ደማች እያለ ሰዉ አፋጅቶ ዙንባቤ ሄዶ ከቤተሰብ ይኖራን. አንተም ሰዉ አስፈጅተሕ ቱሩኪ ሄደህ ከሚስትሕ ጋር ትኖራለሕ እንጂ ቀይ ባሕር እንዳተ በምላሳቾ ጨሌ ያልሆኑ ጀግኖች ባሌ ቤቶች አሉት.
favor,ቀይ ባህር,ልጆሽህ ወደፊት ሳይሆን ዛሬ እናደርገዋለን.
favor,ቀይ ባህር,ምን ዋጋ አለው ህዝብ አልረዳው አለ! ህዝባችን የዚህን ብልህ መሪ ንግግር ከሚሰማ ይልቅ የነሀብታሙን የደንቆሮ ጩኸት ቢሰማ ይመርጣል
against,ቀይ ባህር,ድጋሜ ደሞ እኚህ ሰው እብደቱ ተነሳበት
favor,ቀይ ባህር,ይህ በጠቅላይ ሚኒስቴር አብይ አህመድ የቀረበዉ ሀሳብ የሆነ ነገር ጫረኝ! በተለይ የኢትዮጵያ ሶማሌ ምን በድሎ ነዉ… የሚትለዋ ሃሳብ ከባድ ናት፡፡ አሁን ነዉ መወሰን ያለብን ጎበዝ፡፡ ሃሳቡን እጅግ በጣም እንደ አንድ ኢትዮጵያዊ እደግፈዋልሁ፡፡
against,ቀይ ባህር,አምቦ አዳማ ደብረብርሀን ዝዋይ አዋሽ አዌሳ...ኧረ ኦንደውም ቡራዮ በነፃነት ደሰርሶ መመለስ ሕልም የሆነበትን ሕዝብ እንደ ከዋክብት የራቀበትን ሕዝብ ወደብ እያሉ ማጅጃል ምን ይባላል
against,ቀይ ባህር,በትክክል ዛሬ ባንተ ተስፋ ቆረጥኩኝ ። የህዝቡን አቅጣጫ ለማስቀየር ሌላ የጦርነት አጀንዳ መጎሰም እና መቆስቆስ እድሜህን ያሳጥረዋል ።
against,ቀይ ባህር,አባይ ግብጽ ሱዳን እሚያገባቸው ስለሚያቋርጣቸው ነው ፣ ቀይ ባህር ግን ኢትዮጵያን አያቋርጣትም ፣ ግን አሳዳጊዎችህም ሞክረውት አልተሳካላቸውም ፣ መቼም ቢሆን መቼም በኤርትራ ባህር አትጠቀሟትም መቼም መቼ
against,ቀይ ባህር,የህዝብ ብዛት ካስጨንቀህ ህዝብህን የወሊድ መከላከያ እንዲጠቀም ኣስተምረው
favor,ቀይ ባህር,በየመንደሩ የጅል ስራ እየሰራችሁ ሰው እያስጨረሳችሁ ንብረት እያጠፋችሁ መንግስትና ህዝብ እድገትና ልማትን ትቶ በእናንተ እቃ እቃ ጨዋታ እያተኮረ እንዲተኛ የምትፈልጉ ቁርጡን እወቁ ማንም አይሰማችሁም
favor,ቀይ ባህር,ልክ ነህ ጀግናው ከኤርትራ ከተቻለ በሰላም ሰቶ በመቀበል ካልሆነ በገልበት በጦርነትም ቢሆን ወደባችን ን ማስመለስ አለብን
favor,ቀይ ባህር,ትክክለኛ ጥያቄ ሁነኛ ባልሆነ ግለሰብ ። ኢትዮጵያ እግዚአብሔር ይሁንሽ።
against,ቀይ ባህር,ኤርትራውያን ልብ እንዴት ጠንካራ እንደሆነ እስክሚገባቹ ትማሩበት አላቹ ቀይ ባህር የኤርትራ ነው
against,ቀይ ባህር,ይህ ደንቆሮ ማሃይም ሃገር ሊመራ ያልቻለ ስለ የባሕር በር ወደብ ለማውራት ያናውጠዋል ።
against,ቀይ ባህር,ሰውየው ግን ጤነኛ ነው ስንት ነብስ ሲጠፋ ነው የሚረካው
against,ቀይ ባህር,ዛሬም የኢትዮጲያን ህዝብ ታታልላለህ የስራህን ይስጥህ
against,ቀይ ባህር,"እርግጠኛ ነኝ ከሶስት ቀን በኋላ ""ውሃ ለሰው ልጅ ምንም ጥቅም የለውም"" ትላለክ "
against,ቀይ ባህር,ኢትዮጵያውያን ወንድሞቼ ልብ እንበል ። ይሄ ሰውዬ ኣሁንም ከመልካም ጎረቤት ኤርትራ ጋር ኣጣልቶ ጦርነት ውስጥ እንድከትህ እያለመ ነው ።
against,ቀይ ባህር,ለምንድነው የቀይባህርና የባህር በር ጉዳይ የሚያነሳው ? ኢትዮጵያ ከምንም ግዜ በላይ ድህነት ኣረንቛ ኣውርዶ ፡ በትግራይ የእርስ በርስ ጦርነት ሶስት ክልሎች ስንት መከራና ጠባሳ እንዲኖር ኣድርጎ ፡
against,ቀይ ባህር,ኣሁን ደሞ ብኣማራ ክልል በእርስ በርስ ጦርነት ወደር የሌለው ሰቆቃ እያወረደ ባለበት ግዜ ፡ ለምንድነው ከኤርትራ ጋር ደም መቃባት የፈለገው ።
against,ቀይ ባህር,ወፈፌ ፣ የራሱን ህዝብ የሚጨፈጭፍ ወፈፌ መሪ ይዛቹ ስለ የቀይ ባህር መብት ማሰብ እብደት ነው። ቀፋፊ
favor,ቀይ ባህር,የእኔ ብርቱ ውሾች ይጩሁ ።አንተ ሥራህን ስራ ።የምደግፍህ በምክንያት ነው ።ምነው ከምታሥተምረው የተወሠነው በርትቶ በሠሩ ።
against,ቀይ ባህር,መጀመርያ ውስጥን ማረጋጋት ችግሩን መፍታት። ዘሎ ውጪ፣ ውጊያ ማሰብ፤ እንዴት ኮንፌዴሬት ይሆናሉ? በዘር ፖለቲካ እየተበላላን፣ ይህን ያላረጋጋ የብልፅግና ምኞት ካልሆነ ወረራ።
against,ቀይ ባህር,ፋኖን መቋቋም ስያቅትሕ ይሔንን አለምክ ወጣቱን ለማስጨረስ
against,ቀይ ባህር,እንዳንተ አይነት ከፋፋይ መሪ ይዞ እንዴት ሰብሰብ ማለት ይቻላል? ብለኸን አምነንህ ነበር ተግባርህ ግን ሌላ ሆነ።
against,ቀይ ባህር,እንደዚህ ኣይነት ወራዳ መሪ ታይቶ ኣይታወቅም
against,ቀይ ባህር,ውሻ የኤርትራ ልጆችስ ምን የሚሉ ይመስልሃ ክክክ ጫታም ህዝብ ይዘህ
favor,ቀይ ባህር,አንተ ለመጪው ትውልድ ስታስብ በልቼው ልሙት የሚሉ እራስ ወዳዶች ባይቀበሉህም ግን አንተ ምንግዜም ለኢትዮጵያ ጀግና ነህ አንድ ቀን ያመሰግኑሀል።
favor,ቀይ ባህር,ጀግና መሪያችን በርታልን ምደረ ባንዳ የኤርትራ ቂጥ ላሽ አማራ እንደ ውሻ ጩሁ
against,ቀይ ባህር,"""ፋኖ "" ወደ አራት ኪሎ መገስገሱ ሲጨንቃት እና እንቅልፍ ሲያሳጣት የበሻሻ አራዳ አጀንዳ ለማስቀየር አንዴ ቀይባህር ፡ አንዴ የውሃ ጠብታ ፡ ምንጥርስዬ እያለች መቀባጠር ጀምራለች"
against,ቀይ ባህር,ከሚውጠው በላይ የሚያኝከው አብይ አህመድ ። ፋኖ የኢትዮጵያ ተስፋ።
against,ቀይ ባህር,ከቀሚሳቸው ላይ አረንጓዴ፣ቢጫ ቀይ ባንዲራ ነው ብለህ ጥለታቸውን የቀደድክባቸው ዜጎች ጊዜው ሲደርስ በማያነጋግሩበት መንገድ ያነጋግሩሀል
against,ቀይ ባህር,ኢትዮጵያ የባህር በር ኣልነበራትም ለዘላለም ኣይኖራትም ደሞ ይሄ ፈሪ ና እብድ የኢትዮጵያ መሪ የት እንደሚኖር ኣይገባኝም ዛሬ ነገ የፋኖ ሃይል ዛሬ ነገ ኣራት ኪሎ እገባለሁ እያለ ይሄ ፈሪ መሪ የሌላ ኣገር መውረርና ውጊያ ያውጃል
against,ቀይ ባህር,እንካን ደክተር አቢ ተብየው ስንት አባቶችህ መክሮ ተደፍተው ነው የቀሩት በንግግር ሳይሆን ና እና መክሮው እንዳለፈ ባዶ እጅህ ትሄዳለ መጽሓፍ ቅዱስን አንተ የምታነበው የኤርትራ ባህር ነው የሚለው ወይስ የኢትዮፕያ ባህራችን ደማችን ነው
favor,ቀይ ባህር,አንተ አስበህ ያላሳካሀው ጉዳይ ዬለም ግን ከሸኔም ከፋኖም ጋር ያለውን ችግር በሰላማዊ መንገድ ፍታልን ህዝቡ ሰላም ያግኝ ለሀገሩ በኩራት ይስራ
against,ቀይ ባህር,ይች ሁሉ ወሬ አማራን ተዋጉልኝ ለማለት ነው:: ትግሬ ተዳክሟል: ኦሮሞ ጦርነት ልምድ የለውም ፈሪ ነው: ደቡብ ጭራሽ የጦር ልምድ የለውም ብታገኝም ሰው 10ሺህ አይሞላም::
against,ቀይ ባህር,ለማያቅ ወይም ደነቆሮ ሰው ሲሰማ የኢትዮያ ውሸታም መሪ ውይይት ኡነት ይመስላል ።ከሺ በላይ ቆጥረህ ከመጣህ አለም በሙሉ አፍርሰህ መስራት ማለት ንው ።ይህ አስተሳሰብ እብድ ብቻ ነው የሚያስበው።
against,ቀይ ባህር,ምላስህ ቂቤ ልብህ ግን የአውሬ አንተን አምኜ ተሰበረ ልቤ /ውሃ ይብላህ ላንተ ለብሔርህ ጥቅም ስትል የትግራይን ህዝብ ጁንታ ነው ብለህ የአማራና በሌላ ብሔር ያለውን ማህበረሰብ አዕምሮ አስቀይረህ የትግራይን ህዝብ አስጨፈጨፍክ አሁን ደግሞ የአማራ ህዝብን ፋኖ ነው ብለህ እየጨፈጨፍከው ነው
against,ቀይ ባህር,ኣቤት የማያልቅ ችግር የዚህ ሰውየው. ቀይ ባህር ሽንኩርት ወይም ክትፎ መሰለው እንዴ
against,ቀይ ባህር,ከፈቀዱልህ ሒድና ዋኝበት ላንተ የሚዋጋ የለም ኦነግን ሰብስበህ ሞክረዉ
against,ቀይ ባህር,አንድ ሉኡላዊት ሃገር ደፍረህ መውሰድ አትችልም ከወሰድክም ደግሞ ተኝተህ አታድርም ስለዚ በስነስርዓት ተስማምተህ ከፍለህ ባሕር ትጠቀማለህ አለበለዛ ስልጣንህን ለሌላ መምራት የሚችል እናስተላልፈዋለን ተጠንቀቅ አቢ
favor,ቀይ ባህር,ሙሕርማ መጥቶ ነበር ሰሚ ህዝብ ጠፋ እጂ. ብቻ ለመጪው ትውልድ የሆነ መስመር አስቀምጠህ ታልፋለህ ዶክተር አብይ አህመድ
against,ቀይ ባህር,ይህን እብድ ሰውዬ ኣማኑኤል ሆስፒታል የሚወስደው ሰው በእውነት ጠፋ
against,ቀይ ባህር,ውደዳቸውም ጠላቹውም ቀይ ባህር እንደ ህልም ስታስባት ትኖራታላቹህ እንጂ አታያቱም ስለዚህ ኣርፋቹ ተቀመጡ
against,ቀይ ባህር,"አገርን እያፈረስ, አንድ እንሁን ማለት ምን አይነት እብደት ነው። እረ በቃ በሉት።"
against,ቀይ ባህር,ይህ ሰው ፍፁም ውሸታም ስለሆነ እባካችሁ ልጆቻችሁ በተቻለ መጠን የሚናገረውን እንዳያዮት አድርጉ።
favor,ቀይ ባህር,ቀይ ባህር የኢትዮጵያ ተፈጥሮ በር ነው
